data_field,value,value_description
auth_reg_dist_frs,0,Other/Not-Applicable
auth_reg_dist_frs,1,Boston
auth_reg_dist_frs,2,New York
auth_reg_dist_frs,3,Philadelphia
auth_reg_dist_frs,4,Cleveland
auth_reg_dist_frs,5,Richmond
auth_reg_dist_frs,6,Atlanta
auth_reg_dist_frs,7,Chicago
auth_reg_dist_frs,8,St. Louis
auth_reg_dist_frs,9,Minneapolis
auth_reg_dist_frs,10,Kansas City
auth_reg_dist_frs,11,Dallas
auth_reg_dist_frs,12,San Francisco
dist_frs,0,Other/Not-Applicable
dist_frs,1,Boston
dist_frs,2,New York
dist_frs,3,Philadelphia
dist_frs,4,Cleveland
dist_frs,5,Richmond
dist_frs,6,Atlanta
dist_frs,7,Chicago
dist_frs,8,St. Louis
dist_frs,9,Minneapolis
dist_frs,10,Kansas City
dist_frs,11,Dallas
dist_frs,12,San Francisco
bhc_ind,0,Not Applicable
bhc_ind,1,Entity is a Bank Holding Company
bhc_ind,2,Entity is not a Bank Holding Company but directly or indirectly controls a grandfathered non-bank bank
bnk_type_analys_cd,0,Not Applicable
bnk_type_analys_cd,1,Bankers bank subject to reserve requirements
bnk_type_analys_cd,2,Bankers bank not subject to reserve requirements
bnk_type_analys_cd,3,Grandfathered non-bank bank
bnk_type_analys_cd,4,Entity is primarily conducting credit card activities
bnk_type_analys_cd,5,Wholesale bank with commercial bank charter
bnk_type_analys_cd,6,Standalone Internet Bank
bnk_type_analys_cd,7,Workout entity
bnk_type_analys_cd,8,Depository Institution National Bank
bnk_type_analys_cd,9,Depository trust company
bnk_type_analys_cd,10,Bridge entity
bnk_type_analys_cd,11,Banking Edge or Agreement Corporation
bnk_type_analys_cd,12,Investment Edge or Agreement Corporation
bnk_type_analys_cd,13,Data processing services
bnk_type_analys_cd,14,Trust preferred securities subsidiary
bnk_type_analys_cd,15,Cash management banks
bnk_type_analys_cd,16,Farm credit system institution
bnk_type_analys_cd,17,10L Election (Bank deemed savings bank under Section 10(l) of Home Owners’ Loan Act
bnk_type_analys_cd,18,Grandfathered Savings and Loan Holding Company
bnk_type_analys_cd,19,Securities Holding Company
bnk_type_analys_cd,20,Designated Financial Market Utility
broad_reg_cd,0,Not applicable
broad_reg_cd,1,Banks
broad_reg_cd,2,Other depository institutions
broad_reg_cd,3,Non-depository institutions
broad_reg_cd,4,Inactive institution
chtr_type_cd,0,Not applicable
chtr_type_cd,110,Government Agency
chtr_type_cd,200,Commercial Bank
chtr_type_cd,250,Non-Deposit Trust Company
chtr_type_cd,300,Savings Bank
chtr_type_cd,310,Savings & Loan Association
chtr_type_cd,320,Cooperative Bank
chtr_type_cd,330,Credit Union
chtr_type_cd,340,Industrial Bank
chtr_type_cd,400,Edge or Agreement Corporation
chtr_type_cd,500,Holding Company only
chtr_type_cd,550,Insurance Broker or Agent and/or Insurance Company
chtr_type_cd,610,Employee Stock Ownership Plan
chtr_type_cd,700,Securities Broker and/or Dealer
chtr_type_cd,710,Utility Company
chtr_type_cd,720,Other Non-Depository Institution
chtr_auth_cd,110,Government agency
chtr_auth_cd,200,Commercial bank
chtr_auth_cd,250,Non-deposit trust company
chtr_auth_cd,300,Savings bank
chtr_auth_cd,310,Savings & loan association
chtr_auth_cd,320,Cooperative bank
chtr_auth_cd,330,Credit union
chtr_auth_cd,340,Industrial bank
chtr_auth_cd,400,Edge or Agreement Corporation
chtr_auth_cd,500,"Holding Company Only, not itself any other charter type"
chtr_auth_cd,550,Insurance Broker or Agent and/or Insurance Company
chtr_auth_cd,610,Employee Stock Ownership Plan/Trust
chtr_auth_cd,700,Securities Broker and/or Dealer
chtr_auth_cd,710,Utility Company or Electric Power Co-generator
chtr_auth_cd,720,Other Non-Depository Institution
cnsrvtr_cd,0,Not applicable
cnsrvtr_cd,1,In conservatorship – RTC
cnsrvtr_cd,2,In conservatorship – OCC
cnsrvtr_cd,3,In conservatorship – FDIC
cnsrvtr_cd,4,In conservatorship – State
cnsrvtr_cd,5,In conservatorship – NCUA
domestic_ind,N,Not a domestic bank
domestic_ind,Y,Is domestic bank
entity_type,AGB,Agreement Corporation – Banking
entity_type,AGI,Agreement Corporation – Investment
entity_type,BHC,Bank Holding Company
entity_type,CPB,Cooperative Bank
entity_type,DBR,Domestic Branch of a Domestic Bank
entity_type,DEO,Domestic Entity Other
entity_type,DPS,Data Processing Servicer
entity_type,EBR,Edge Corporation – Domestic Branch
entity_type,EDB,Edge Corporation – Banking
entity_type,EDI,Edge Corporation – Investment
