field_name,short_name,data_type,recommended_data_type,description_1,description_2,Notes
ACT_PRIM_CD,Primary Activity Code,CHARACTER [6],string,The Primary Activity Code is a five or six-digit North American Industry Classification System (NAICS) Code value that best describes the primary activity conducted by an entity. ,"A full description of all NAICS codes may be found at the U.S. Census Bureau’s website at http://www.census.gov/eos/www/naics/. If the entity is inactive, this item should contain 0 (zero) except in the cases of Edge and Agreement Corporations and electric power companies (including co-generators) that report on FR 2009a/b/c. ",
AUTH_REG_DIST_FRS ,Federal Reserve District Authority,INTEGER,integer,The Federal Reserve Regulatory District Code is a two-digit numeric code designating the Federal Reserve District of regulatory authority for institutions.,,
BANK_CNT,Bank Count,INTEGER,integer,The Bank Count is a derived count of U.S. banking subsidiaries in the organizational structure of a bank holding company during the date range of the Attributes row.,,
BHC_IND,BHC Indicator,INTEGER,integer,The Bank Holding Company (BHC) Indicator is an indicator of whether a head office entity is a Bank Holding Company (as defined in Section 2(a) of the Bank Holding Company Act (BHCA) including BHCs that may also be Foreign Banking Organizations (FBOs)) or non-BHC entities that control a grandfathered non-bank bank. ,,
BNK_TYPE_ANALYS_CD,Bank Type Analysis Code,INTEGER,integer,The Bank Type Analysis Code is a code to indicate certain entities are subject to special analysis. ,,
BROAD_REG_CD,Broad Regulatory Code,INTEGER,integer,The Broad Regulatory Code is a code intended to permit retrieval of major groups of entities based on their actual (not their potential) depository and legal status with regard to Regulation Y and the BHC Act. ,,
CHTR_AUTH_CD,Authority Charter,INTEGER,integer,The Authority Charter is a code indicating the chartering authority of the following entity types located in the United States or the U.S. territories (or possessions).,"Bbanking type entities (charter types 200 and 250), thrifts (charter types 300, 310, 320 and 340), credit unions (charter type 330), and Edge corporations – which should always have federal charters, and agreement corporations, which should always have state charters (charter type 400). An Authority Charter is also required for U.S. branches or agencies of non-U.S. banks (where country code is not equal to 1007). In the case that the entity’s charter type is a government agency, this field identifies the level of government. ",
CHTR_TYPE_CD,Charter Type,CHARACTER,string,The Charter Type is a code indicating the type of entity based on either the legal documents issued by the chartering or licensing authority or other documents of formation. The generally accepted common name that summarizes the characteristics and business activities of the entity when a formal charter is not issued.,,
CITY,City,CHARACTER [25],string,The City/Town Text Name field is the name of the city or town in which the entity is physically located.,,
CNSRVTR_CD,Conservatorship Code,INTEGER,integer,The Conservatorship Code is a code identifying entities for which the federal or state government has intervened and possibly provided financial assistance. ,,
CNTRY_CD,Country Code (Geographic Location),DECIMAL [5],integer,"The Country Code is the numeric code assigned to the country, dependency, or area of special sovereignty in which the entity is physically located. ","Source: Geographical Classification, the Department of the Treasury. Note: I n the current version of the Department of Treasury's Geographical Classification, countries of the United Kingdom, including England, Scotland, Wales, Northern Ireland, Channel Islands, Hebrides, Isle of Man, Orkney, and Shetland Islands, are included under the country code of the United Kingdom. However, at the request of the Federal Reserve Bank of New York, separate codes were assigned to England, Scotland, Wales, Northern Ireland, and Channel Islands. Additionally, the Treasury has given the Federal Reserve System separate codes for the United States, American Samoa, Guam, Marshall Islands, Northern Mariana Islands, Palau, Puerto Rico, U.S. Minor Outlying Islands, the U.S. Virgin Islands, and Federated States of Micronesia.",
CNTRY_INC_CD,Country Incorporation Code,INTEGER,integer,"The Country Incorporation Code is the numeric code assigned to the country, dependency, or area of special sovereignty in which the entity is incorporated.",,
CNTRY_INC_NM,Country Incorporation Name,CHARACTER [40],string,The Country Incorporation Name is the name of the country of incorporation.,,
CNTRY_NM,Country Name (Geographic Location),CHARACTER [40],string,The Country Name is the alpha name text of a country.,,
